"estado","cidade","regiao","preco_medio"
"rj","rio de janeiro","rio comprido","440000.00"
"sp","campinas","guarani","550000.00"
"rs","contagem","linda vista","413500.00"
"sp","sao bernardo do campo","chacara sergipe","265000.00"
"sp","campinas","jardim baroneza","380000.00"
"rj","rio de janeiro","engenho novo","185000.00"
"rj","rio de janeiro","maracana","590000.00"
"sp","campinas","vila brandina","650000.00"
"sp","sao paulo","moema","1500000.00"
"sp","sao bernardo do campo","vila campestre","339000.00"
"sp","sao paulo","campo belo","1166666.67"
"rs","canoas","mathias velho","328125.00"
"sp","campinas","bonfim","262230.77"
"rj","niteroi","centro","346625.00"
"rj","sao goncalo","rocha","900000.00"
"sp","sao paulo","fazenda morumbi","450000.00"
"rs","sao leopoldo","santo andre","218453.85"
"sp","guarulhos","jardim ema","300000.00"
"sp","sao bernardo do campo","vila santa cassia","445000.00"
"sp","sao paulo","vila alpina","315000.00"
"rs","porto alegre","jardim botanico","190000.00"
"sp","novo hamburgo","santo afonso","214899.69"
"sp","campinas","vila campos sales","220000.00"
"sp","campinas","parque res. vila uniao","155000.00"
"rs","contagem","bom jesus","285000.00"
"mg","belo horizonte","sagrada familia","566666.67"
"mg","belo horizonte","graca","560000.00"
"sp","guarulhos","morros","250000.00"
"mg","belo horizonte","santa monica","305000.00"
"sp","sao paulo","vila nova conceicao","2180000.00"
"sp","sao bernardo do campo","vila arapua","290000.00"
"sp","campinas","fundacao da casa popular","300000.00"
"rs","contagem","fonte grande","267250.00"
"sp","sao bernardo do campo","vila dusi","435000.00"
"sp","sao paulo","jardim maria estela","260000.00"
"rj","rio de janeiro","agua santa","390000.00"
"rs","belo horizonte","darcy vargas","220000.00"
"rs","porto alegre","vila assuncao","285000.00"
"rj","rio de janeiro","tijuca","590000.00"
"sp","campinas","jardim ipiranga","189333.33"
"rj","rio de janeiro","andarai","275000.00"
"sp","guarulhos","picanco","483500.00"
"sp","guarulhos","jardim adriana","409000.00"
"rj","rio de janeiro"," vargem pequena","165000.00"
"rs","contagem","industrial","433333.33"
"rs","sao leopoldo","santa teresa","339285.71"
"rs","porto alegre","espirito santo","518333.33"
"rs","contagem","monte castelo","260000.00"
"sp","campinas","vila industrial","350000.00"
"mg","belo horizonte","serrano","357500.00"
"sp","guarulhos","vila rio de janeiro","222500.00"
"sp","guarulhos","jardim alice","280000.00"
"sp","sao bernardo do campo","nova petropolis","431864.14"
"rs","contagem","vera cruz","220000.00"
"rj","rio de janeiro","todos os santos","180000.00"
"sp","novo hamburgo","maua","403333.33"
"sp","guarulhos","vila progresso","441000.00"
"rs","porto alegre","nonoai","285045.45"
"rs","belo horizonte","trevo","321666.67"
"rs","contagem","novo riacho","247483.33"
"rs","contagem","bernardo monteiro","363333.33"
"sp","guarulhos","jardim maia","699000.00"
"sp","campinas","conceicao","202000.00"
"rj","rio de janeiro","barra olimpica","213000.00"
"mg","belo horizonte","fernao dias","280000.00"
"sp","sao paulo","morumbi","285000.00"
"rj","niteroi","fonseca","309425.04"
"mg","belo horizonte","liberdade","523333.33"
"rj","rio de janeiro","cascadura","224750.00"
"rj","rio de janeiro","grajau","262666.67"
"rs","contagem","kennedy","160000.00"
"sp","campinas","conjunto residencial souza queiroz","201625.00"
"sp","guarulhos","jardim moreira","415000.00"
"sp","guarulhos","gopouva","398636.36"
"rs","porto alegre","jardim do salso","416000.00"
"rj","rio de janeiro","lins de vasconcelos","197500.00"
"sp","campinas","jardim do lago","282500.00"
"sp","sao paulo","conjunto habitacional padre manoel da nobrega","225000.00"
"sp","sao paulo","vila andrade","1202500.00"
"rs","contagem","flamengo","266000.00"
"sp","sao bernardo do campo","jardim cantareira","445000.00"
"rs","porto alegre","cavalhada","308852.35"
"sp","sao bernardo do campo","vila olga","290000.00"
"sp","sao paulo","jardim aurora zona leste","220000.00"
"sp","sao paulo","vila re","200000.00"
"mg","belo horizonte","piratininga","303250.00"
"rs","porto alegre","jardim floresta","240000.00"
"rj","rio de janeiro","sao francisco xavier","205000.00"
"mg","belo horizonte","urca","220000.00"
"sp","campinas","centro","215850.60"
"sp","guarulhos","vila tijuco","371157.50"
"mg","belo horizonte","venda nova","250000.00"
"rs","sao leopoldo","santos dumontt","175000.00"
"mg","belo horizonte","buritis","548333.33"
"sp","sao paulo","vila olimpia","1824000.00"
"sp","campinas","jardim anton von zuben","630000.00"
"mg","belo horizonte","cidade jardim","500000.00"
"rs","contagem","california","215000.00"
"rj","niteroi","mata paca","682500.00"
"sp","sao bernardo do campo","vila santa rita de cassia","315000.00"
"sp","campinas","parque fazendinha","357400.00"
"sp","sao paulo","jardim santa emilia","285500.00"
"sp","sao paulo","jardim da gloria","320000.00"
"sp","campinas","jardim pacaembu","235000.00"
"sp","campinas","vila padre manoel de nobrega","175000.00"
"sp","guarulhos","parque renato maia","294000.00"
"sp","guarulhos","jardim vila galvao","500000.00"
"sp","osasco","jardim sao pedro","217500.00"
"sp","novo hamburgo","centro","335807.69"
"sp","osasco","bussocaba","291000.00"
"rs","sao leopoldo","campina","218285.71"
"sp","sao leopoldo","scharlau","365680.00"
"sp","campinas","mansoes santo antonio","646666.67"
"sp","campinas","vila trinta e um de marco","240000.00"
"sp","guarulhos","jardim sao ricardo","349500.00"
"sp","campinas","jardim dos oliveiras","200000.00"
"rj","niteroi","maravista","735000.00"
"mg","belo horizonte","cidade nova","522857.14"
"sp","sao paulo","bras","403749.88"
"sp","guarulhos","jardim tranquilidade","280000.00"
"sp","guarulhos","vila leonor","298000.00"
"sp","guarulhos","jardim almeida prado","489000.00"
"sp","sao bernardo do campo","assuncao","412703.70"
"sp","campinas","loteamento parque sao martinho","215000.00"
"sp","sao paulo","jardim da saude","242500.00"
"sp","sao paulo","jardim celeste","255000.00"
"mg","belo horizonte","engenho nogueira","277499.50"
"sp","sao bernardo do campo","cidade miramar","663333.33"
"mg","belo horizonte","caicaras","683333.33"
"rs","porto alegre","bom jesus","230666.67"
"sp","guarulhos","vila milton","320000.00"
"sp","campinas","cidade jardim","450000.00"
"sp","sao paulo","vila sonia","435000.00"
"mg","belo horizonte","estrela do oriente","270000.00"
"rs","contagem","jardim industrial","272000.00"
"sp","campinas","jardim do trevo","290000.00"
"mg","belo horizonte","darcy vargas","210000.00"
"mg","belo horizonte","lagoinha","359925.00"
"mg","belo horizonte","prado","245000.00"
"rs","porto alegre","costa e silva","205000.00"
"sp","osasco","presidente altino","467225.00"
"sp","campinas","jardim sao fernando","350000.00"
"mg","belo horizonte","nova cachoeirinha","300000.00"
"rs","contagem","sapucaias","170000.00"
"rs","contagem"," industrial","165000.00"
"sp","sao paulo","jardim ibitirama","206000.00"
"rs","porto alegre","floresta","196000.00"
"sp","sao bernardo do campo","montanhao","207500.00"
"mg","belo horizonte","alto barroca","772500.00"
"rs","porto alegre","jardim itu","404000.00"
"sp","osasco","vila osasco","573197.96"
"sp","sao bernardo do campo","vila planalto","342500.00"
"rj","rio de janeiro","vargem grande","336333.33"
"rs","sao leopoldo","centro","325947.76"
"sp","campinas","nova campinas","474000.00"
"rs","contagem","sapucaias i","160000.00"
"rj","niteroi","matapaca","435000.00"
"sp","sao bernardo do campo","vila euro","361666.67"
"sp","campinas","jardim aurelia","302000.00"
"mg","belo horizonte","vila jardim leblon","285000.00"
"rs","porto alegre","menino deus","245816.67"
"sp","sao paulo","fazenda da juta","210000.00"
"rs","sao leopoldo","fazenda sao borja","240000.00"
"sp","campinas","dic vi conjunto habitacional santo dias silva","230000.00"
"rs","contagem","sapucaias iii","269500.00"
"rj","niteroi","largo da batalha","310000.00"
"sp","guarulhos","vila nossa senhora de fatima","373666.67"
"mg","belo horizonte","miramar barreiro","252500.00"
"rj","rio de janeiro","sampaio","240000.00"
"sp","sao paulo","se","265000.00"
"sp","sao bernardo do campo","jardim do mar","568666.67"
"mg","belo horizonte","santa rosa","399000.00"
"rs","porto alegre","cristal","257589.29"
