"estado","cidade","regiao","total_imoveis"
"mg","belo horizonte","prado","4"
"sp","sao paulo","vila andrade","4"
"rs","contagem","flamengo","4"
"mg","belo horizonte","camargos","4"
"mg","belo horizonte","sion","4"
"mg","belo horizonte","copacabana","4"
"rs","belo horizonte","sao salvador","4"
"mg","belo horizonte","horto","4"
"rs","porto alegre","vila assuncao","4"
"rj","rio de janeiro","tijuca","4"
"sp","guarulhos","vila das palmeiras","4"
"rs","porto alegre","floresta","4"
"sp","sao paulo","vila vermelha","4"
"sp","guarulhos","jardim odete","4"
"mg","belo horizonte","alto barroca","4"
"sp","guarulhos","jardim testae","4"
"sp","guarulhos","camargos","4"
"rs","contagem","vila beneves","4"
"sp","sao bernardo do campo","vila campestre","4"
"mg","belo horizonte","uniao","4"
"sp","sao bernardo do campo","vila planalto","4"
"sp","sao bernardo do campo","jordanopolis","4"
"sp","sao paulo","vila liviero","4"
"rs","belo horizonte","novo gloria","4"
"rj","rio de janeiro","engenho da rainha","4"
"sp","campinas","jardim samambaia","4"
"sp","campinas","nova campinas","4"
"rs","contagem","sapucaias i","4"
"rj","rio de janeiro","iraja","4"
"rs","porto alegre","jardim floresta","4"
"sp","sao paulo","consolacao","4"
"sp","sao bernardo do campo","jardim olavo bilac","4"
"sp","sao paulo","parada xv de novembro","4"
"sp","campinas","jardim aurelia","4"
"mg","belo horizonte","jardim leblon","4"
"mg","belo horizonte","santa branca","4"
"sp","osasco","jardim das flores","4"
"sp","campinas","jardim brasil","4"
"mg","belo horizonte","carmo","4"
"mg","belo horizonte","santa efigenia","4"
"rs","porto alegre","mario quintana","4"
"sp","guarulhos","vila bremen","4"
"sp","sao paulo","quarta parada","4"
"sp","guarulhos","vila zamataro","4"
"sp","sao paulo","republica","4"
"sp","guarulhos","vila tijuco","4"
"sp","guarulhos","vila moreira","4"
"sp","novo hamburgo","rincao","4"
"mg","belo horizonte","lourdes","4"
"rs","contagem","sapucaias iii","4"
"rj","niteroi","largo da batalha","4"
"rs","contagem","arvoredo","4"
"mg","belo horizonte","miramar barreiro","4"
"mg","belo horizonte","trevo","4"
"rs","belo horizonte","coqueiros","4"
"mg","belo horizonte","nova suica","4"
"sp","campinas","vila campos sales","4"
"sp","sao paulo","paraiso","4"
"rs","contagem","jardim vera cruz","4"
"rs","contagem","tropical","4"
"sp","osasco","adalgisa","4"
"rs","contagem","morro do confisco","4"
"mg","belo horizonte","serrano","4"
"sp","sao paulo","vila independencia","4"
"rs","canoas","sao luis","4"
"sp","guarulhos","vila rio de janeiro","4"
"sp","sao paulo","belem","4"
"rj","niteroi","mata paca","4"
"mg","belo horizonte","manacas","4"
"sp","sao paulo","colonia zona leste","4"
"sp","sao paulo","belenzinho","4"
"sp","sao bernardo do campo","independencia","4"
"sp","sao paulo","cerqueira cesar","4"
"rs","porto alegre","humaita","4"
"sp","sao paulo","vila ivone","4"
"sp","sao paulo","vila alpina","4"
"sp","sao paulo","saude","4"
"rs","contagem","vila belem","4"
"rj","rio de janeiro","vila da penha","4"
"sp","campinas","parque prado","4"
"rj","niteroi","vila progresso","4"
"rj","rio de janeiro","jardim america","4"
"rj","niteroi","vital brasil","4"
"mg","belo horizonte","nova esperanca","4"
"sp","campinas","jardim sao jose","4"
"sp","campinas","vila lidia","4"
"rj","rio de janeiro","botafogo","4"
"mg","belo horizonte","guarani","4"
"sp","guarulhos","parque renato maia","4"
"sp","guarulhos","parque flamengo","4"
"sp","guarulhos","jardim vila galvao","4"
"sp","osasco","jardim sao pedro","4"
"rj","niteroi","tenente jardim","4"
"sp","guarulhos","vila progresso","4"
"rs","sao leopoldo","cristo rei","4"
"rj","rio de janeiro","recreio dos bandeirantes","4"
"sp","sao paulo","tatuape","3"
"rs","porto alegre","pedra redonda","2"
"sp","sao paulo","centro historico de sao paulo","2"
"sp","sao paulo","vila moraes","2"
"mg","belo horizonte","nova cintra","2"
"sp","sao bernardo do campo","jardim iraja","2"
"rs","belo horizonte","sao sebastiao","2"
"sp","sao paulo","vila invernada","2"
"mg","belo horizonte","sao geraldo","2"
"mg","contagem","xangri-la","2"
"sp","sao paulo","vila agua funda","2"
"sp","sao paulo","vila oratorio","2"
"rs","porto alegre","estancia velha","2"
"rs","belo horizonte","conjunto california","2"
"sp","guarulhos","vila carioca","2"
"sp","sao bernardo do campo","suico","2"
"sp","campinas","jardim guarani","2"
"sp","sao paulo","jardim das acacias","2"
"sp","osasco","vila campesina","2"
"rs","porto alegre","itu sabara ","2"
