"regiao","tipo","num_anuncios","preco_medio"
"jardim campos eliseos","casa","2","295000.00"
"jardim cantareira","casa","2","445000.00"
"jardim capivari","apartamento","6","239666.67"
"jardim capivari","casa","2","350000.00"
"jardim carlos lourenco","casa","2","495000.00"
"jardim carvalho","apartamento","4","420000.00"
"jardim carvalho","casa","2","320000.00"
"jardim celeste","apartamento","4","255000.00"
"jardim chapadao","apartamento","2","630000.00"
"jardim cocaia","apartamento","22","311454.55"
"jardim cocaia","casa","2","700000.00"
"jardim copacabana","apartamento","2","265000.00"
"jardim crepusculo","casa","2","280000.00"
"jardim d’abril","apartamento","6","288333.33"
"jardim d’abril","casa","2","490000.00"
"jardim da gloria","studio","2","320000.00"
"jardim das acacias","apartamento","6","746666.67"
"jardim das acacias","casa","2","650000.00"
"jardim da saude","apartamento","4","242500.00"
"jardim das bandeiras","apartamento","18","201388.89"
"jardim das bandeiras","casa","2","380000.00"
"jardim das flores","apartamento","2","601000.00"
"jardim das flores","casa","2","760000.00"
"jardim das quatro marias","casa","2","340000.00"
"jardim do lago","apartamento","4","282500.00"
"jardim do lago continuacao","apartamento","10","196000.00"
"jardim do mar","apartamento","6","568666.67"
"jardim dona leopoldina","apartamento","6","198333.33"
"jardim do salso","apartamento","8","416000.00"
"jardim dos oliveiras","apartamento","2","200000.00"
"jardim do trevo","apartamento","2","290000.00"
"jardim do vovo","apartamento","2","202500.00"
"jardim ema","casa","2","300000.00"
"jardim ester yolanda","casa","2","600000.00"
"jardim eulina","casa","2","600000.00"
"jardim farina","casa","2","420000.00"
"jardim flamboyant","apartamento","8","294500.00"
"jardim flor da montanha","apartamento","43","551247.53"
"jardim flor do campo","casa","2","450000.00"
"jardim floresta","apartamento","4","240000.00"
"jardim garcia","apartamento","6","231666.67"
"jardim guanabara","apartamento","4","292500.00"
"jardim guarani","casa","2","798000.00"
"jardim ibitirama","apartamento","2","206000.00"
"jardim imperador","apartamento","2","350000.00"
"jardim independencia","apartamento","2","480000.00"
"jardim independencia sao paulo","apartamento","2","500000.00"
"jardim indianopolis","apartamento","2","275000.00"
"jardim indianopolis","casa","2","425000.00"
"jardim industrial","apartamento","2","215000.00"
"jardim industrial","casa","2","329000.00"
"jardim ipanema","casa","2","950000.00"
"jardim ipaussurama","apartamento","8","309000.00"
"jardim ipiranga","apartamento","6","189333.33"
"jardim iporanga","apartamento","2","215000.00"
"jardim iporanga","casa","4","333500.00"
"jardim iraja","apartamento","2","200000.00"
"jardim itu","apartamento","6","206333.33"
"jardim itu","casa","2","997000.00"
"jardim itu sabara","apartamento","2","210000.00"
"jardim jau zona leste","casa","2","450000.00"
"jardim laguna","casa","2","550000.00"
"jardim leblon","casa","4","192500.00"
"jardim maia","apartamento","2","699000.00"
"jardim marcia","apartamento","12","213333.33"
"jardim maria estela","apartamento","4","260000.00"
"jardim maua","casa","2","410000.00"
"jardim miranda","apartamento","2","230000.00"
"jardim moreira","casa","2","415000.00"
"jardim myrian moreira da costa","apartamento","2","320000.00"
"jardim norma","casa","2","320000.00"
"jardim nova europa","apartamento","26","328453.77"
"jardim nova europa","casa","2","480000.00"
"jardim nova petropolis","casa","2","650000.00"
"jardim nova taboao","apartamento","2","520000.00"
"jardim novo campos eliseos","apartamento","2","180000.00"
"jardim novo campos eliseos","casa","10","556000.00"
"jardim odete","apartamento","4","240000.00"
"jardim olavo bilac","apartamento","4","282000.00"
"jardim pacaembu","apartamento","2","235000.00"
"jardim paraiso","apartamento","2","260000.00"
"jardim paraiso de viracopos","apartamento","2","275000.00"
"jardim paraiso de viracopos","casa","2","275000.00"
"jardim paramount","apartamento","2","835000.00"
"jardim paraventi","apartamento","2","260000.00"
"jardim paraventi","casa","4","632500.00"
"jardim pauliceia","apartamento","8","211363.00"
"jardim paulista","apartamento","2","750000.00"
"jardim popular","casa","2","490000.00"
"jardim portugal","apartamento","2","635000.00"
"jardim proenca","apartamento","4","305000.00"
"jardim riacho das pedras","apartamento","11","430057.36"
"jardim riacho das pedras","casa","2","390000.00"
"jardim roberto","apartamento","24","301833.33"
"jardim rosa de franca","apartamento","4","295000.00"
"jardim roseira","apartamento","2","370000.00"
"jardim samambaia","apartamento","4","264420.50"
"jardim santa barbara","apartamento","4","250000.00"
"jardim santa beatriz","casa","2","1030000.00"
"jardim santa cecilia","casa","2","390000.00"
"jardim santa clara","apartamento","2","350000.00"
"jardim santa clara","casa","4","615000.00"
"jardim santa emilia","apartamento","2","285500.00"
"jardim santa mena","apartamento","2","894900.00"
"jardim santa mena","casa","4","645000.00"
"jardim sao fernando","casa","2","350000.00"
"jardim sao francisco zona leste","apartamento","4","200000.00"
"jardim sao gabriel","apartamento","2","245000.00"
"jardim sao jose","apartamento","4","188622.50"
"jardim sao judas tadeu","apartamento","18","285888.89"
"jardim sao luis","apartamento","6","238333.33"
"jardim sao luiz","apartamento","2","200000.00"
"jardim sao paulo","casa","2","320000.00"
"jardim sao pedro","apartamento","4","217500.00"
"jardim sao ricardo","apartamento","4","349500.00"
"jardim sao roberto","casa","2","400000.00"
"jardim sao sebastiao","apartamento","2","240000.00"
"jardim sapopemba","casa","2","320000.00"
"jardim silvina","apartamento","2","200000.00"
"jardim testae","apartamento","4","345000.00"
"jardim tijuco","apartamento","2","280000.00"
"jardim tranquilidade","apartamento","2","280000.00"
"jardim valdibia","apartamento","6","296666.67"
"jardim valeria","apartamento","6","351666.67"
"jardim vera cruz","apartamento","6","266666.67"
"jardim vergueiro sacoma","apartamento","2","270000.00"
"jardim vila galvao","apartamento","2","320000.00"
"jardim vila galvao","casa","2","680000.00"
"jardim yraja","apartamento","2","218000.00"
"jardim zaira","apartamento","6","686666.67"
"jd maria eugenia","casa","2","458000.00"
"jk","apartamento","8","378749.75"
"joao pinheiro","apartamento","2","260000.00"
"jordanopolis","apartamento","4","255000.00"
"kennedy","apartamento","2","160000.00"
"km 18","apartamento","8","351000.00"
"km 18","casa","7","331285.71"
"lagoinha","apartamento","6","329900.00"
"lagoinha","casa","2","450000.00"
"largo da batalha","apartamento","4","310000.00"
"lauzane paulista","apartamento","2","280000.00"
"liberdade","apartamento","22","317727.27"
"liberdade","casa","6","360666.67"
"linda vista","apartamento","4","413500.00"
"lins de vasconcelos","apartamento","8","197500.00"
"loteamento country ville","apartamento","6","218333.33"
"loteamento parque recreio","casa","2","200000.00"
