,Unnamed: 0,Preco,Num Quartos,Num Banheiros,Num Vagas,Tamanho,Tipo,Cidade,Regiao,Itens Disponivels,Itens Indisponíveis,Data Completa,Dia,Mes,Ano,Dia da Semana,Dia da Semana Extenso,Semana do Ano,Quarter,Estado
1536,1536,195.000,2.0,1.0,1.0,51.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa']",16/03/2024,16.0,3.0,2024.0,5.0,Sábado,11.0,Q1,RJ
1537,1537,220.000,2.0,2.0,0.0,76.0,Apartamento,Niterói,Fonseca,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",Data inválida,,,,,,,None,RJ
1538,1538,430.000,3.0,2.0,1.0,82.0,Apartamento,Niterói,Barreto,"['Banheira de hidromassagem', 'Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Cozinha americana', 'Área de serviço']","['Piscina privativa', 'Apartamento cobertura', 'Banheiro adaptado', 'Closet', 'Quintal', 'Somente uma casa no terreno']",16/12/2024,16.0,12.0,2024.0,0.0,Segunda-feira,51.0,Q4,RJ
1539,1539,210.000,2.0,1.0,1.0,65.0,Apartamento,Niterói,Fonseca,"['Armários na cozinha', 'Apartamento cobertura', 'Área de serviço']","['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Banheiro adaptado', 'Closet', 'Quintal', 'Somente uma casa no terreno']",16/08/2024,16.0,8.0,2024.0,4.0,Sexta-feira,33.0,Q3,RJ
1540,1540,250.000,2.0,1.0,1.0,61.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",Data inválida,,,,,,,None,RJ
1541,1541,335.000,2.0,2.0,1.0,78.0,Apartamento,Niterói,Fonseca,"['Banheira de hidromassagem', 'Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",16/07/2024,16.0,7.0,2024.0,1.0,Terça-feira,29.0,Q3,RJ
1542,1542,195.000,2.0,1.0,0.0,70.0,Apartamento,Niterói,Fonseca,"['Varanda', 'Armários no quarto', 'Armários na cozinha', 'Geladeira inclusa']","['Banheira de hidromassagem', 'Box', 'Piscina privativa', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']",Data inválida,,,,,,,None,RJ
1543,1543,850.000,3.0,3.0,2.0,530.0,Casa,Niterói,Maria Paula,"['Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Home-office', 'Garden/Área Privativa']",16/01/2025,16.0,1.0,2025.0,3.0,Quinta-feira,3.0,Q1,RJ
1544,1544,380.000,2.0,2.0,1.0,82.0,Apartamento,Niterói,Barreto,"['Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado']","['Banheira de hidromassagem', 'Box', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço']",Data inválida,,,,,,,None,RJ
1545,1545,280.000,3.0,2.0,0.0,103.0,Casa,Niterói,São Gonçalo,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal']",Data inválida,,,,,,,None,RJ
1546,1546,196.000,1.0,1.0,1.0,50.0,Apartamento,Niterói,Fonseca,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",03/02/2025,3.0,2.0,2025.0,0.0,Segunda-feira,6.0,Q1,RJ
